Using device: cuda
Training epoch 1
Training loss: 0.8719
Valid acc: 0.7678
Training epoch 2
Training loss: 0.7509
Valid acc: 0.7731
Training epoch 3
Training loss: 0.6961
Valid acc: 0.8270
Training epoch 4
Training loss: 0.6647
Valid acc: 0.8188
Training epoch 5
Training loss: 0.6440
Valid acc: 0.8299
Training epoch 6
Training loss: 0.6290
Valid acc: 0.8256
Training epoch 7
Training loss: 0.6177
Valid acc: 0.8311
Training epoch 8
Training loss: 0.6088
Valid acc: 0.8135
Training epoch 9
Training loss: 0.6022
Valid acc: 0.8215
Training epoch 10
Training loss: 0.5971
Valid acc: 0.8083
Training epoch 11
Training loss: 0.5929
Valid acc: 0.8167
Training epoch 12
Training loss: 0.5898
Valid acc: 0.8131
Training epoch 13
Training loss: 0.5871
Valid acc: 0.8338
Training epoch 14
Training loss: 0.5855
Valid acc: 0.8121
Training epoch 15
Training loss: 0.5835
Valid acc: 0.8383
Final Test acc: 0.8147
Number of trainable parameters:  0
